0  5
0.35	0.00540	0.000127	0.001085
0.45	0.00880	0.000126	0.000294
0.55	0.01230	0.000133	0.000412
0.69	0.01760	0.000105	0.000592
0.89	0.02470	0.000125	0.000446
1.09	0.03180	0.000152	0.000574
1.38	0.04110	0.000139	0.000740
1.76	0.05310	0.000213	0.000957
2.21	0.06650	0.000329	0.001198
2.71	0.07930	0.000537	0.001430
3.21	0.08550	0.000869	0.001541
3.71	0.08840	0.001371	0.001594
4.38	0.08140	0.001720	0.001468
5.41	0.06620	0.003342	0.001193
6.75	0.03840	0.004520	0.000693
5  10
0.35	0.00690	0.000139	0.001393
0.45	0.01060	0.000138	0.000356
0.55	0.01490	0.000145	0.000498
0.69	0.02090	0.000115	0.000702
0.89	0.02920	0.000137	0.000526
1.09	0.03720	0.000166	0.000671
1.38	0.04800	0.000153	0.000866
1.76	0.06140	0.000233	0.001108
2.21	0.07710	0.000358	0.001390
2.71	0.09060	0.000581	0.001633
3.21	0.09620	0.000932	0.001735
3.71	0.09770	0.001458	0.001761
4.38	0.09310	0.001801	0.001679
5.41	0.07080	0.003443	0.001277
6.76	0.04250	0.004632	0.000766
10  15
0.35	0.00780	0.000154	0.000785
0.45	0.01190	0.000153	0.000297
0.55	0.01660	0.000161	0.000414
0.69	0.02310	0.000128	0.000576
0.89	0.03230	0.000153	0.000583
1.09	0.04070	0.000185	0.000734
1.38	0.05240	0.000170	0.000944
1.76	0.06720	0.000259	0.001212
2.21	0.08270	0.000396	0.001491
2.71	0.09850	0.000639	0.001776
3.21	0.10620	0.001019	0.001915
3.72	0.10680	0.001580	0.001925
4.38	0.09620	0.001931	0.001734
5.41	0.07130	0.003663	0.001286
6.75	0.05090	0.004907	0.000918
15  20
0.35	0.00810	0.000175	0.000819
0.45	0.01310	0.000174	0.000327
0.55	0.01770	0.000183	0.000442
0.69	0.02490	0.000145	0.000623
0.89	0.03460	0.000174	0.000623
1.09	0.04400	0.000211	0.000792
1.38	0.05650	0.000195	0.001019
1.76	0.07200	0.000296	0.001298
2.21	0.08950	0.000450	0.001614
2.71	0.10220	0.000725	0.001843
3.21	0.10820	0.001148	0.001951
3.72	0.11040	0.001766	0.001990
4.39	0.09610	0.002134	0.001733
5.41	0.07360	0.003999	0.001328
6.75	0.03960	0.005337	0.000714
20  25
0.35	0.00920	0.000201	0.000932
0.45	0.01420	0.000202	0.000354
0.55	0.01880	0.000212	0.000470
0.69	0.02640	0.000168	0.000660
0.89	0.03660	0.000202	0.000659
1.09	0.04690	0.000245	0.000846
1.38	0.05940	0.000227	0.001070
1.76	0.07600	0.000345	0.001370
2.21	0.09240	0.000523	0.001666
2.71	0.10600	0.000839	0.001911
3.21	0.11120	0.001322	0.002004
3.72	0.10770	0.002019	0.001942
4.39	0.10180	0.002426	0.001834
5.41	0.06550	0.004485	0.001181
6.75	0.04420	0.005943	0.000797
25  30
0.35	0.00930	0.000235	0.000945
0.45	0.01450	0.000236	0.000362
0.55	0.01970	0.000249	0.000492
0.69	0.02790	0.000198	0.000699
0.89	0.03870	0.000237	0.000698
1.09	0.04830	0.000288	0.000870
1.38	0.06160	0.000268	0.001111
1.76	0.07840	0.000408	0.001414
2.21	0.09490	0.000616	0.001710
2.71	0.10870	0.000986	0.001959
3.21	0.11020	0.001541	0.001986
3.72	0.11150	0.002340	0.002011
4.39	0.09450	0.002781	0.001704
5.42	0.07010	0.005086	0.001264
6.76	0.04260	0.006707	0.000768
30  35
0.35	0.00890	0.000280	0.000905
0.45	0.01490	0.000282	0.000372
0.55	0.02090	0.000298	0.000522
0.69	0.02880	0.000237	0.000719
0.89	0.03970	0.000286	0.000715
1.09	0.05020	0.000347	0.000905
1.38	0.06440	0.000324	0.001162
1.76	0.08090	0.000495	0.001459
2.21	0.09750	0.000746	0.001757
2.71	0.10650	0.001189	0.001919
3.21	0.11220	0.001849	0.002022
3.72	0.11010	0.002784	0.001985
4.39	0.09250	0.003275	0.001668
5.42	0.07320	0.005933	0.001319
6.75	0.03870	0.007774	0.000697
35  40
0.35	0.00970	0.000339	0.000985
0.45	0.01590	0.000342	0.000398
0.55	0.02110	0.000362	0.000528
0.69	0.02940	0.000290	0.000734
0.89	0.04150	0.000350	0.000748
1.09	0.05180	0.000426	0.000934
1.38	0.06540	0.000399	0.001179
1.76	0.08160	0.000610	0.001471
2.21	0.09800	0.000918	0.001768
2.71	0.10920	0.001459	0.001969
3.22	0.11090	0.002255	0.001999
3.72	0.10230	0.003372	0.001844
4.39	0.08670	0.003929	0.001563
5.42	0.07450	0.007066	0.001343
6.75	0.04840	0.009257	0.000873
40  50
0.35	0.00910	0.000340	0.000924
0.45	0.01570	0.000345	0.000391
0.55	0.02140	0.000367	0.000535
0.69	0.03020	0.000295	0.000755
0.89	0.04200	0.000358	0.000757
1.09	0.05290	0.000438	0.000953
1.38	0.06630	0.000413	0.001195
1.76	0.08120	0.000633	0.001464
2.21	0.09800	0.000951	0.001766
2.71	0.10130	0.001502	0.001826
3.22	0.10520	0.002305	0.001897
3.72	0.09990	0.003410	0.001801
