0   2000
0.996809   0.935157   0.91345
4.54151   0.907154   5.09243
9.35784   0.212749   5.56862
0.593919   2.38749   3.59397
2.69007   0.373067   4.48198
1.79186   1.05565   4.74734
1.16446   1.06196   2.75414
0.623762   2.93241   5.68253
0.466383   2.5164   2.982
1.28998   0.297312   0.0382711
7.48667   0.893138   5.14315
2.31674   2.44833   4.18204
8.55478   2.82181   5.9708
0.334302   0.91524   1.66508
1.13084   2.16088   5.72894
2.40507   2.85392   0.483112
1.10502   0.682767   3.02728
1.40107   0.35687   0.34237
2.30152   1.60444   5.38442
2.84341   2.90397   3.4604
5.48084   2.91974   0.524592
0.3033   1.26659   3.46585
3.26313   1.42734   1.70709
0.623689   1.30285   1.48186
0.534586   0.230931   4.76647
2.81603   0.362128   4.25417
3.99925   0.46433   1.4256
0.217753   2.6724   1.2901
0.274561   0.785692   1.56237
3.94064   2.0677   1.45167
3.43071   0.216846   3.63622
0.405595   2.892   0.138819
8.82027   0.687   0.358469
0.287932   0.574502   1.56551
0.694484   2.05822   3.43024
0.255843   0.245379   2.81143
3.81736   0.335345   1.39115
1.74525   2.41235   5.9859
0.916909   2.60527   3.81609
3.67314   0.67594   1.18962
0.466752   1.80581   3.26009
0.455734   2.03478   5.32592
5.60622   0.820052   3.81496
2.01324   0.270123   1.7497
3.36607   1.18771   1.24536
4.81393   0.918651   0.342014
3.19671   2.55921   2.55023
0.749008   1.81706   2.98245
0.670692   1.45184   4.37089
2.80427   2.53964   4.91915
2.53654   0.361518   0.604012
2.58904   0.826072   3.66902
0.602024   2.82895   4.03785
3.29839   2.38219   3.0753
6.08473   1.91541   0.662337
1.74442   0.960493   0.886263
9.07551   0.279004   1.72662
1.32126   0.765129   4.84761
3.23394   1.99025   2.65524
5.21808   0.703024   6.06311
6.32188   0.566851   3.9316
2.31466   1.01803   5.40894
5.98561   2.60736   3.15595
0.844958   2.70293   3.7394
6.94057   1.00026   2.86867
0.502698   0.328118   1.78556
0.390407   2.94168   2.35724
0.258187   1.54761   4.11063
5.51576   0.328284   3.01733
7.51889   0.328509   0.315539
7.89165   1.3324   3.97037
2.93153   1.25521   2.30742
0.974881   2.92168   6.26764
0.9263   0.44253   0.570286
4.17494   1.59763   0.293291
1.55532   2.92333   4.16434
1.40526   2.80119   3.50975
6.17684   2.34325   3.47454
0.407732   2.84813   5.68157
1.12561   0.35088   0.653003
3.21114   0.197725   2.46865
0.659297   1.78668   0.910195
0.706308   0.756366   5.468
0.606019   2.06256   4.60165
6.01683   2.87308   1.30162
0.754808   1.17961   2.92151
8.51695   0.414157   0.43105
3.46892   2.72197   0.371062
1.02705   0.816622   1.88801
2.75656   1.43119   2.55417
9.69896   2.35052   1.10985
5.28352   0.475063   4.04608
2.51391   2.95235   2.37239
4.1879   0.215352   0.61895
1.22811   1.65952   0.160491
9.91461   1.08484   2.37523
9.33225   1.63185   4.18549
9.52839   2.82298   1.25211
0.646324   2.6578   3.75087
1.27187   2.29297   1.88375
1.27591   2.94141   4.40245
2.88315   0.61417   2.91743
0.494973   2.90938   0.028224
0.788847   1.70888   2.97019
1.75763   2.88768   5.73019
2.02446   0.59236   1.68197
9.60803   2.36455   2.51786
0.305738   0.580757   5.65416
0.391399   0.246795   2.07899
0.407201   0.651567   4.94152
9.16811   0.572942   2.02217
2.15931   2.86852   1.37606
0.367541   0.632694   0.704136
5.1158   0.345649   3.85674
0.391491   0.865696   3.46136
1.98143   0.347813   4.12834
4.62927   0.362302   2.62255
4.59444   2.01509   1.29112
2.27383   2.16986   5.99478
3.00822   2.85538   5.45073
1.80884   0.976477   4.63176
0.958177   2.14119   3.11848
8.25575   0.303858   0.295103
1.68133   1.52258   6.1246
1.47463   0.202552   6.08601
0.436001   2.59062   1.68628
9.19644   0.267281   3.97527
3.67014   0.265871   4.01531
9.02001   1.75814   0.323809
0.843642   1.91265   5.57273
5.03915   2.88803   4.68779
1.6228   2.46052   0.75667
3.66395   0.205128   4.76593
1.54941   0.242785   1.87997
1.05932   0.620095   3.55558
0.244283   2.55126   2.22002
1.74306   0.473674   5.09357
1.12089   2.11776   1.70409
0.276339   2.00528   3.33506
1.67081   1.48989   4.27003
0.616269   1.63402   5.57237
3.15313   0.234369   5.34823
9.78402   2.65905   3.11825
0.703751   2.51891   0.318051
6.23332   2.87013   2.84816
5.7653   0.40144   4.90276
0.42365   0.360834   4.45814
4.13058   0.886799   0.528233
1.26844   0.263578   4.91714
3.33943   2.25267   2.59118
2.40035   0.205807   1.50366
9.25903   2.83342   0.223744
0.247732   2.43857   5.78237
3.96568   1.76045   3.62095
1.98368   2.83421   3.79463
4.10438   2.14327   0.488925
4.9695   2.88279   2.50501
1.0221   2.95707   4.30935
4.25603   2.72617   4.16692
1.20422   0.600756   0.599777
4.64374   0.408472   3.68013
6.12854   2.29369   1.07069
1.67657   1.83254   5.34417
1.53381   2.5027   0.125887
7.91742   0.966521   0.865157
7.94673   0.509037   4.96936
2.44989   0.756909   3.68997
0.62822   0.827545   2.0862
2.36813   0.624262   1.04369
1.80595   0.36662   4.00598
4.97232   1.29574   4.26752
1.68329   0.498078   3.66197
0.848004   2.5122   0.178765
5.12707   0.230934   3.27062
1.2598   1.83591   0.448711
3.04906   2.25228   5.02669
7.66486   0.360301   3.81152
0.604553   0.506833   2.297
1.92213   2.83514   0.934551
1.13648   1.4776   4.00016
0.661145   2.70751   5.97873
0.699647   2.82284   4.45922
2.37127   1.22614   0.259651
0.354179   1.65426   3.00593
8.41351   2.75243   5.68964
2.37894   2.27239   2.41833
0.760725   0.499693   3.48129
4.22465   2.72606   5.71811
3.09395   2.30124   5.97333
0.579998   0.548033   2.2316
9.46698   2.80644   4.43533
7.55564   2.33411   5.79501
5.93184   0.50621   3.94661
6.39232   1.15809   3.7699
0.335722   1.25045   3.711
3.82494   1.67174   3.11856
0.546812   2.85194   3.76201
1.56758   0.500822   4.61357
2.22052   2.93525   3.98706
3.65798   2.64612   6.28153
0.536312   2.89302   3.2556
0.67666   1.98075   4.10877
2.77767   2.88383   1.11309
0.476165   1.87965   0.682126
9.41247   2.43889   1.28414
0.623519   0.209828   5.19497
6.36469   2.85411   3.66485
1.41564   0.83385   0.775624
0.498609   0.460388   3.91119
6.33001   2.16973   1.05044
5.13258   1.47322   6.00101
2.71567   2.44132   3.3205
0.395675   1.61183   5.7529
9.29953   2.82433   0.777684
6.36208   2.07313   5.16058
5.41716   1.39877   4.67503
0.426555   1.49836   0.405967
2.74711   0.241785   2.06488
6.79378   0.370455   5.92215
0.571773   0.366041   3.58434
0.289487   0.521333   5.1192
4.8805   0.768678   0.349966
0.685666   2.85485   3.53839
4.32663   2.04086   0.603937
4.62406   1.13198   0.631105
0.397129   2.82924   1.8588
4.58497   2.21897   4.0144
1.67956   1.48613   3.7854
3.96204   2.41826   2.69615
9.62059   1.71131   0.499354
1.97472   0.235491   1.77027
7.01959   2.81086   3.36309
0.809069   0.232558   0.596611
0.385751   1.72934   4.27129
0.353323   1.91262   2.44284
0.639789   2.58872   2.46082
2.07883   0.301913   2.96637
3.28444   0.861483   6.04677
1.67206   1.25397   0.545049
9.22896   2.31114   2.35438
3.73314   2.51794   3.97158
0.67627   0.499388   4.04328
0.93848   2.51821   4.64126
5.67569   0.205032   2.31239
0.50661   0.374491   1.64598
