Type                                  Module                      Label             Process   
edm::ValueMap<float>                  "hiRegitMuInitialStepSelector"   "MVAVals"         "RECO"    
edm::ValueMap<float>                  "hiRegitMuMixedTripletStepSelector"   "MVAVals"         "RECO"    
edm::ValueMap<float>                  "hiRegitMuPixelLessStepSelector"   "MVAVals"         "RECO"    
edm::ValueMap<float>                  "hiRegitMuPixelPairStepSelector"   "MVAVals"         "RECO"    
edm::ValueMap<float>                  "hiRegitMuonSeededTracksInOutSelector"   "MVAVals"         "RECO"    
edm::ValueMap<float>                  "hiRegitMuonSeededTracksOutInSelector"   "MVAVals"         "RECO"    
edm::ValueMap<reco::CastorJetID>      "ak5CastorJetID"            ""                "RECO"    
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "RECO"    
edm::ValueMap<reco::HIPhotonIsolation>    "photonIsolationHIProducer"   ""                "RECO"    
edm::ValueMap<reco::HIPhotonIsolation>    "photonIsolationHIProducerGED"   ""                "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "RECO"    
edm::ValueMap<reco::VoronoiBackground>    "voronoiBackgroundCalo"     ""                "RECO"    
edm::ValueMap<reco::VoronoiBackground>    "voronoiBackgroundPF"       ""                "RECO"    
int                                   "centralityBin"             "HFtowers"        "RECO"    
int                                   "tcdsDigis"                 "nibble"          "RECO"    
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"    
reco::Centrality                      "hiCentrality"              ""                "RECO"    
reco::ClusterCompatibility            "hiClusterCompatibility"    ""                "RECO"    
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "RECO"    
vector<DcsStatus>                     "scalersRawToDigi"          ""                "RECO"    
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "RECO"    
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "RECO"    
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "RECO"    
vector<LumiScalers>                   "scalersRawToDigi"          ""                "RECO"    
vector<double>                        "akPu3CaloJets"             "rhos"            "RECO"    
vector<double>                        "akPu3PFJets"               "rhos"            "RECO"    
vector<double>                        "akPu4CaloJets"             "rhos"            "RECO"    
vector<double>                        "akPu4PFJets"               "rhos"            "RECO"    
vector<double>                        "akPu5CaloJets"             "rhos"            "RECO"    
vector<double>                        "akPu5PFJets"               "rhos"            "RECO"    
vector<double>                        "akVs2CaloJets"             "rhos"            "RECO"    
vector<double>                        "akVs3CaloJets"             "rhos"            "RECO"    
vector<double>                        "akVs3PFJets"               "rhos"            "RECO"    
